Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3fonVeQL7sSaNIrzrWvKMe,"MALVADO DE VAPO","MALVADO DE VAPO","xccvdxz;Y3LLAVISION",2024-11-10,77293,59,false,racistisch,2026-02-16T10:00:06Z,"phonk,brazilian phonk","MNRC Records",0.883,0.939,4,-3.997,1,0.216,0.0933,0.845,0.107,0.521,130.036,4
spotify:track:4iRGOPSFgEFOphkqY6ryCC,"LUA NA PRAÇA","LUA NA PRAÇA","Dj Samir;DJ Zarek;DJ DUDA;LUNxdiE",2025-09-04,88641,78,false,racistisch,2026-02-16T10:00:21Z,"phonk,brazilian phonk,funk","Lunar Media / Zime Media AB",0.551,0.86,1,-2.084,0,0.0439,0.0284,0.0000419,0.179,0.422,131.998,4
spotify:track:7hCUHXMZknrymWCyeMx8B6,"MONTAGEM RUGADA","MONTAGEM RUGADA","cape;JXNDRO;Sayfalse",2025-08-27,92384,83,false,racistisch,2026-02-16T10:00:50Z,"phonk,brazilian phonk,funk","Zime Media AB",0.514,0.975,2,-0.755,1,0.0538,0.0176,0.0000147,0.136,0.663,130.051,4
spotify:track:4LkkRLP8pldQer1YRrHwkx,"LOS VOLTAJE","LOS VOLTAJE","Sayfalse;Yb Wasg'ood;Ariis",2025-04-11,99285,79,false,racistisch,2026-02-16T10:00:53Z,"phonk,brazilian phonk,funk","PCR",0.61,0.938,0,-1.227,0,0.0972,0.00553,0.976,0.658,0.344,115.974,4
spotify:track:7wrjh1jGLkV99AhcgnGRjE,"COM MEDO!","COM MEDO!","Sayfalse;Scythermane",2025-03-06,69736,71,false,racistisch,2026-02-16T10:01:01Z,"phonk,brazilian phonk,funk","PCR / Zime Media AB",0.729,0.97,1,-1.334,0,0.0382,0.139,0.00106,0.0882,0.114,125.007,4
spotify:track:5iJJJAjvgEKbvy3VT1Sicj,"MONTAGEM CONTIGO","MONTAGEM CONTIGO","Repsaj",2025-04-04,96808,59,false,racistisch,2026-02-16T10:02:03Z,"phonk,brazilian phonk","Everything's Yours Entertainment",0.646,0.991,1,-1.821,1,0.0402,0.00653,0.932,0.294,0.465,130.103,4
spotify:track:1RnPdd7EKKhKN3E4o4DRsh,"MONTAGEM BAILÃO","MONTAGEM BAILÃO","Repsaj;MXZI;ATLXS;Mc Jhey",2025-04-04,103727,78,true,racistisch,2026-02-16T10:02:09Z,"phonk,brazilian phonk,funk,brazilian funk","repsaj",0.67,0.976,1,-2.113,1,0.044,0.027,0.00000159,0.124,0.34,130.103,4
spotify:track:1KuF0vl4lKo1EQNAJIlnZM,"MONTAGEM DIREÇÃO","MONTAGEM DIREÇÃO","DJ FKU;farofinat beats;Dj Samir",2025-08-21,80442,78,false,racistisch,2026-02-16T10:03:10Z,"phonk,brazilian phonk,funk","Lunar Media",0.544,0.963,2,-1.426,0,0.279,0.0715,0.00000231,0.297,0.648,134.845,4
spotify:track:0Pc767nHJYSdWvnMjLyC5r,"MONTAGEM REBOLA","MONTAGEM REBOLA","ATLXS;DJ FKU",2025-12-12,101333,70,false,racistisch,2026-02-16T10:03:16Z,"phonk,brazilian phonk","Tribal Trap",0.512,0.96,11,-1.575,0,0.16,0.147,0,0.385,0.869,135.436,4
spotify:track:0fRZPudbhfzCRZQMJhPRcU,"TUCA DONKA","TUCA DONKA","DJ FKU;CURSEDEVIL;Skorde",2023-07-27,75692,72,false,racistisch,2026-02-16T10:03:21Z,"phonk,brazilian phonk","Tribal Trap",0.817,0.963,1,-3.318,1,0.0353,0.0683,0.767,0.312,0.502,130.028,4
spotify:track:11gZL0HigsqfzjTHOpdFjE,"MENTE MÁ","MENTE MÁ","Nakama;Mc Staff",2025-05-16,75302,82,false,racistisch,2026-02-16T10:03:50Z,"phonk,brazilian phonk,funk","void",0.8,0.71,3,-2.922,0,0.0346,0.297,0.0902,0.0404,0.965,129.922,4
spotify:track:094IjHeVUviN4aBnSXYsuj,"DIA DELÍCIA","DIA DELÍCIA","Nakama;ΣP",2025-04-25,75461,82,true,racistisch,2026-02-16T10:03:58Z,"phonk,brazilian phonk,funk","Nakama",0.826,0.743,8,-3.721,1,0.0336,0.366,0.00000306,0.0281,0.541,130.021,4
spotify:track:0v39niKexe8rNc3QhO2y9p,"FENOMENAL","FENOMENAL","Nakama;KETSU;Mc Staff",2025-07-04,60463,66,false,racistisch,2026-02-16T10:04:19Z,"phonk,brazilian phonk,funk","void",0.73,0.954,6,-1.003,1,0.0511,0.119,0.0000117,0.327,0.605,130.046,4
spotify:track:4YvxfQF9QCXykqi2ahREC4,"PYTHON FUNK","PYTHON FUNK","Sayfalse;RD12",2024-08-23,74285,62,false,racistisch,2026-02-16T10:04:46Z,"phonk,brazilian phonk,funk","0to8",0.6,0.945,9,2.196,1,0.212,0.16,0.972,0.216,0.493,105.013,4
spotify:track:2r2vr5ujMEZN9hJzwwc6Jk,"Montagem Supersonic","Montagem Supersonic","KHAOS;Jmilton;Mc Jajá",2025-07-04,87816,82,true,racistisch,2026-02-16T10:05:09Z,"phonk,brazilian phonk,funk","KHAOS",0.568,0.926,0,-4.836,0,0.0532,0.0056,0.046,0.329,0.624,132.031,4
spotify:track:2ve1Mb0G8NcaiSiWJQl7JK,"VAI VAI TRAIR","VAI VAI TRAIR","DJ Asul",2025-07-25,90351,78,true,racistisch,2026-02-16T10:05:53Z,"phonk,brazilian phonk,funk","INTERTONE",0.637,0.97,9,-0.56,0,0.0564,0.346,0,0.55,0.433,127.878,4
spotify:track:7jqxHXlu3Ya7WF7lD7tIXj,"MATADORA","MATADORA","DJ Asul",2025-09-19,88615,76,false,racistisch,2026-02-16T10:06:00Z,"phonk,brazilian phonk,funk","INTERTONE",0.697,0.872,10,-0.302,0,0.102,0.165,0.00000303,0.289,0.608,130.226,4
spotify:track:3x22qcYuGehBV6X0K6HIoO,"MONTAGEM BATCHI","MONTAGEM BATCHI","MXZI;Rushex;MONTAGEM",2025-04-11,79151,72,false,racistisch,2026-02-16T10:06:33Z,"phonk,brazilian phonk,funk","broke",0.685,0.929,1,-2.225,1,0.0281,0.0986,0.126,0.0963,0.637,130.08,4
spotify:track:2Gs0iF27my40p0dANv2rAg,"MONTAGEM XONADA","MONTAGEM XONADA","MXZI;Dj Samir;DJ Javi26",2025-07-02,75682,84,false,racistisch,2026-02-16T10:06:37Z,"phonk,brazilian phonk,funk","Lunar Media",0.524,0.971,6,-1.945,0,0.0504,0.0685,0,0.157,0.718,130.095,4
spotify:track:5R9FQXymzyhxjAYAkdbq5Q,"ACELERADA","ACELERADA","sma$her;MXZI",2025-06-27,61269,82,false,racistisch,2026-02-16T10:06:40Z,"phonk,brazilian phonk,funk","Tribal Trap",0.727,0.714,5,-2.734,0,0.0287,0.171,0.0000112,0.0739,0.732,130.084,4
spotify:track:1HyncjdwspQpNSA1kzal4I,"MONTAGEM AROMA","MONTAGEM AROMA","ENTAO;Aeri",2025-08-22,74769,58,false,racistisch,2026-02-16T10:07:22Z,"phonk,brazilian phonk","void",0.705,0.892,1,-3.341,1,0.0384,0.0496,0,0.202,0.548,130.121,4
spotify:track:75xD7ri6lKNL19Fno7nmKQ,"Nada Nada","Nada Nada","Jmilton;Mc Jhey",2025-06-13,89794,70,true,racistisch,2026-02-16T10:07:31Z,"phonk,brazilian phonk,funk,brazilian funk","Jmilton",0.752,0.99,4,-1.694,1,0.148,0.0226,0,0.0856,0.753,130.055,4
spotify:track:2FnkrCrbXJuebXxnVtXiHI,"Vem Vem","Vem Vem","Jmilton;MC Xangai",2025-05-30,83183,78,true,racistisch,2026-02-16T10:07:56Z,"phonk,brazilian phonk,funk,funk de bh","Jmilton",0.723,0.987,9,-0.344,1,0.122,0.231,0.0000295,0.144,0.553,129.997,4
spotify:track:5s9JKS0P0exKgwLe4yCjAK,"Montagem Bandido","Montagem Bandido","Jmilton;Itamar Mc",2025-05-02,86953,71,false,racistisch,2026-02-16T10:08:02Z,"phonk,brazilian phonk,funk","Jmilton",0.612,0.967,11,-2.583,0,0.0559,0.0101,0.0000029,0.352,0.786,134.993,4
spotify:track:7hl1REazG2eMQwYLEsMhhz,"GOZALO","GOZALO","Ariis",2025-09-26,113513,83,false,racistisch,2026-02-16T10:09:09Z,"phonk,brazilian phonk","Tribal Trap",0.606,0.698,0,-2.387,1,0.517,0.385,0.00173,0.277,0.775,171.828,3
spotify:track:6YAK1Sle1Wl7jOurqwWCfh,"MONTAGEM CAMERA LENTA","MONTAGEM CAMERA LENTA","DJ DUARTE;DJ ORBITAL;Dj Rs",2025-10-10,169850,78,true,racistisch,2026-02-16T10:12:44Z,"brazilian funk,funk bruxaria,phonk,brazilian phonk","Prime Funk",0.726,0.772,4,-10.86,0,0.168,0.0585,0.00166,0.111,0.414,129.924,4
spotify:track:1ZlPS78P0Ug1hhqQ1SJ0IW,"MAMA MA","MAMA MA","SXLLX;Oliveira Mc 011",2025-08-21,73259,71,true,racistisch,2026-02-16T10:14:24Z,"phonk,brazilian phonk,funk bruxaria","broke",0.669,0.808,8,-4.567,0,0.0458,0.357,0.466,0.116,0.455,130.144,4
spotify:track:6fxeXlCSt4WLVlbqxgUBMB,"Funk of Galáctico","Funk of Galáctico","SXID;Bibi Babydoll",2024-04-05,90461,68,true,racistisch,2026-02-16T10:15:33Z,"phonk,brazilian phonk","SXID",0.609,0.967,5,-4.192,1,0.0662,0.0181,0.0761,0.374,0.0989,130.06,4
spotify:track:6xBpb9zNWlRHTslOAe6kXF,"Slide da Treme Melódica v2","Slide da Treme Melódica v2","DJ FNK;Polaris",2024-05-17,165107,66,false,racistisch,2026-02-16T10:16:02Z,"phonk,brazilian phonk","Polaris Records UK",0.768,0.897,10,-0.522,1,0.126,0.0352,0,0.156,0.155,140.025,4
spotify:track:3VFySvZMSn4z4X4YDDQb0H,"NUNCA MUDA?","NUNCA MUDA?","Scythermane;NXGHT!;MC Fabinho da Osk",2025-01-09,81500,75,false,racistisch,2026-02-16T10:17:10Z,"phonk,brazilian phonk,funk,funk de bh,brazilian funk,brega funk","Purple Crunch Records",0.89,0.955,11,-4.03,0,0.0434,0.494,0.689,0.136,0.0941,130.061,4
