Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3CLSHJv5aUROAN2vfOyCOh,"Close Eyes","Close Eyes","DVRST",2021-05-25,132346,70,true,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk","DVRST",0.784,0.572,0,-9.853,1,0.0573,0.0748,0.843,0.139,0.209,96.181,4
spotify:track:01kfSdF9zfcDLri5sSWEoL,"RAVE","RAVE","Dxrk ダーク",2022-03-18,169245,70,false,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk","Dxrk",0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918,4
spotify:track:70FceppUZq9dQz1mDPcHcs,"Death Is No More","Death Is No More","BLESSED MANE",2021-01-25,138500,66,false,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk,witch house","Duetti",0.642,0.86,0,-2.467,1,0.0395,0.000158,0.847,0.251,0.373,100.023,4
spotify:track:4yyX0nJqMpqaubcGdGsxx9,"ODIUM","UNIVERSE OF THE PAST","LXST CXNTURY;Kingpin Skinny Pimp",2019-09-23,166579,60,true,racistisch,2026-02-16T09:52:57Z,"drift phonk,phonk,witch house","WHY Z MUSIC",0.708,0.781,11,-8.267,0,0.0638,0.163,0.885,0.392,0.345,74.997,4
spotify:track:6hRvewF5MRAsqqxnNs3z2b,"SUICIDE YEAR","SUICIDE YEAR","WEEDMANE;Suicideyear",2020-12-16,91820,62,true,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk","WEEDMANE",0.788,0.871,6,-5.782,0,0.043,0.172,0.00164,0.115,0.401,128.195,4
spotify:track:3yMrcqveZ2DrWBYJbDsous,"COWBELL WARRIOR!","COWBELL WARRIOR!","SXMPRA",2021-12-08,149461,65,true,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk,trap metal","SXMPRA LIMITED / 10K Projects",0.747,0.801,2,-5.826,1,0.334,0.0287,0.0000297,0.441,0.707,167.077,4
spotify:track:7vX0rvoGneCCOJ2QPruNNZ,"IN THE CLUB","IN THE CLUB","Mishashi Sensei",2021-10-22,139206,54,true,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk","Mishashi Sensei",0.869,0.577,8,-9.817,1,0.0897,0.232,0.503,0.134,0.145,126.022,4
spotify:track:4wHkfOTO5XpTrVn1bHxR18,"Dream Space","Dream Space","DVRST",2021-07-30,171466,62,true,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk","DVRST",0.781,0.696,2,-6.069,1,0.113,0.137,0.00424,0.573,0.293,107.996,4
spotify:track:2ksyzVfU0WJoBpu8otr4pz,"METAMORPHOSIS","METAMORPHOSIS","INTERWORLD",2021-11-25,142839,77,true,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk,brazilian phonk","INTERWORLD",0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,4
spotify:track:02SKrZwDBb7qugvNZF5Xzr,"DO OR DIE","DO OR DIE","Dxrk ダーク",2021-07-16,96000,57,false,racistisch,2026-02-16T09:52:57Z,"phonk,drift phonk","Dxrk",0.768,0.672,1,-9.327,0,0.0809,0.152,0.838,0.0952,0.337,150.143,4
