TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.000000000,1.05435e-06,1.43427e-06,7.72672e-07,9.74857e-07,9.23715e-07,8.42005e-07,5.62328e-07,3.79392e-07,8.41022e-07,1.53536e-06,9.26389e-07,7.02486e-07
0.046439909,1.54693e-05,1.56397e-05,1.43034e-05,1.22301e-05,9.37179e-06,7.85885e-06,4.62691e-06,3.37035e-06,3.85502e-06,6.93108e-06,2.77233e-06,1.42058e-06
0.092879819,8.71914e-05,0.000104713,9.63018e-05,8.87665e-05,8.10057e-05,7.78749e-05,6.48838e-05,5.63151e-05,4.87966e-05,5.4386e-05,4.26984e-05,4.42629e-05
0.139319728,0.00496044,0.00098841,0.00133623,0.00799336,0.00972458,0.00298749,0.00150119,0.00205432,0.00192496,0.00505469,0.0275291,0.0278334
0.185759637,0.00187482,0.000960921,0.00138647,0.00277689,0.00312309,0.00120223,0.000537643,0.000717394,0.000633099,0.00183774,0.00884259,0.00833398
0.232199546,0.00107391,0.000446608,0.000910573,0.00263573,0.00274924,0.000846011,0.0006172,0.000598476,0.000509568,0.0010151,0.00595289,0.00552597
0.278639456,0.00233455,0.00124971,0.00149134,0.00327173,0.00360835,0.00229596,0.00221978,0.00167945,0.00107428,0.00240756,0.00870253,0.00859096
0.325079365,0.00327874,0.00180501,0.00214686,0.00467523,0.00436152,0.00239404,0.00213604,0.00215989,0.00146282,0.00286886,0.00973536,0.00882226
0.371519274,0.00445505,0.00479238,0.00595463,0.00413136,0.00646499,0.00428452,0.00507344,0.00513134,0.00420278,0.00326097,0.0100861,0.00955868
0.417959184,0.0170452,0.00462315,0.00332331,0.0199104,0.0229531,0.00797226,0.00351208,0.00353971,0.00347631,0.0108552,0.0657399,0.0645664
0.464399093,0.00963092,0.0036368,0.00248579,0.0111706,0.0135621,0.0059975,0.00367535,0.00248188,0.00248294,0.00714126,0.0414579,0.0419047
0.510839002,0.00607771,0.00245653,0.00350115,0.0105056,0.010001,0.00317659,0.00182746,0.00179859,0.00275046,0.00583458,0.0274021,0.0261382
0.557278912,0.00469356,0.00313252,0.00374785,0.00484039,0.00705868,0.00270767,0.00200434,0.00237852,0.00236164,0.00363464,0.0200233,0.0203909
0.603718821,0.0032098,0.00432552,0.00398206,0.00522321,0.00562188,0.0027463,0.00186621,0.002628,0.00317074,0.00383803,0.0117423,0.0111409
0.650158730,0.00273255,0.00334416,0.00193386,0.00237069,0.00320379,0.00138379,0.0010124,0.00077094,0.000836767,0.00161596,0.00474719,0.00342802
0.696598639,0.00173752,0.00105874,0.00167117,0.00367307,0.00322658,0.00105224,0.000748056,0.000794907,0.000859486,0.0014147,0.00348599,0.00302082
