TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.000000000,3.21009e-06,3.35248e-06,2.8685e-06,2.25082e-06,2.17134e-06,1.73492e-06,1.05208e-06,8.82146e-07,1.0066e-06,6.44713e-07,5.05713e-07,8.14812e-07
0.046439909,3.96256e-05,4.07763e-05,4.07195e-05,5.0857e-05,6.01407e-05,4.26321e-05,3.35682e-05,3.11469e-05,2.69007e-05,2.2518e-05,1.61783e-05,1.73624e-05
0.092879819,0.00109775,0.00187878,0.00214325,0.00161382,0.00126127,0.00266706,0.00383688,0.00267787,0.0013974,0.00121651,0.00107149,0.00113524
0.139319728,0.00100196,0.00234473,0.00118818,0.00100668,0.00192345,0.00519031,0.00982693,0.00564057,0.00136314,0.00083587,0.000993377,0.000787124
0.185759637,0.00191522,0.00394207,0.00209758,0.00115592,0.00203511,0.00598647,0.013015,0.00695508,0.000974955,0.00127904,0.00168797,0.00157011
0.232199546,0.00216848,0.00481276,0.00258166,0.00153314,0.00205704,0.00675878,0.0162913,0.00845749,0.00113105,0.00134226,0.00261988,0.00113956
0.278639456,0.00221448,0.00409957,0.00202477,0.00250104,0.0037493,0.0112597,0.0235892,0.0128636,0.00224905,0.0027488,0.00485481,0.00268372
0.325079365,0.00153245,0.00310024,0.00205263,0.00165804,0.00217384,0.0115251,0.0279219,0.0155889,0.00292623,0.00297671,0.00431188,0.00262956
0.371519274,0.00117389,0.00267002,0.0015947,0.00203342,0.00328886,0.0143385,0.0317449,0.016532,0.0024625,0.00294559,0.00538528,0.00411968
0.417959184,0.00196022,0.00305611,0.00142162,0.00207682,0.00300461,0.0154702,0.0323909,0.0163948,0.00226564,0.00348969,0.00433057,0.00232379
0.464399093,0.00276725,0.00532315,0.00262941,0.00134721,0.00233627,0.0154981,0.0338589,0.0164739,0.00208071,0.00228066,0.0034692,0.00343747
0.510839002,0.00372908,0.0069169,0.00557068,0.00480064,0.00606185,0.019585,0.0323593,0.0153189,0.00392321,0.00369219,0.0033222,0.00289413
0.557278912,0.00947755,0.018655,0.0165765,0.0211543,0.0181945,0.0132724,0.0175498,0.015241,0.0191412,0.0202366,0.00987311,0.00897369
0.603718821,0.0130835,0.0295387,0.0331573,0.0137347,0.0110965,0.00736692,0.0144397,0.00915817,0.0145245,0.0192062,0.00991179,0.0151078
0.650158730,0.015765,0.0237023,0.0268528,0.0167881,0.00472779,0.00965748,0.0154101,0.0107381,0.0109166,0.0189457,0.0144798,0.0126219
0.696598639,0.0146404,0.0345583,0.0429536,0.0175889,0.00671252,0.0100707,0.0167537,0.00697154,0.00857746,0.0162283,0.0120688,0.0117992
0.743038549,0.0187053,0.0362873,0.0329288,0.0140867,0.00560257,0.00853429,0.0131537,0.00879944,0.0133001,0.0179033,0.0112694,0.0100643
0.789478458,0.0181458,0.0430095,0.0440243,0.0186722,0.00530786,0.00715305,0.00972991,0.00713396,0.0121427,0.0137964,0.0108732,0.00946384
0.835918367,0.0158433,0.0356647,0.0331509,0.01952,0.00486624,0.00615042,0.00941844,0.00841357,0.0127124,0.014458,0.0146282,0.0188465
0.882358277,0.0192605,0.0346143,0.0525115,0.0253178,0.00454603,0.00597964,0.00701527,0.00381931,0.00988943,0.020853,0.0144302,0.0130959
0.928798186,0.00689996,0.0249524,0.0558854,0.0279511,0.00459338,0.0056212,0.0107007,0.014087,0.0163905,0.0215144,0.0112938,0.00799391
0.975238095,0.0149723,0.0325877,0.0629338,0.0369347,0.0167098,0.0146698,0.018642,0.0208955,0.0196094,0.0149111,0.0102105,0.0137519
1.021678005,0.0251441,0.027466,0.0419569,0.0449684,0.022262,0.0153889,0.016714,0.0211652,0.0294939,0.0256581,0.0227284,0.0244196
1.068117914,0.0176302,0.0510563,0.0628112,0.0275072,0.0108013,0.0206158,0.012962,0.0170046,0.0340537,0.032416,0.0178684,0.0134951
1.114557823,0.0217493,0.0475461,0.0508598,0.0196898,0.00854856,0.0144337,0.0138212,0.015701,0.0390198,0.0390138,0.0191004,0.0213253
1.160997732,0.0183716,0.0382267,0.0518726,0.0263651,0.00751343,0.0158642,0.0126119,0.0110479,0.0278297,0.0287261,0.0209119,0.0226643
1.207437642,0.0188977,0.0622467,0.0664007,0.0245954,0.00677593,0.0121081,0.0127529,0.0122656,0.029157,0.0218625,0.0122489,0.0158829
1.253877551,0.0283208,0.044609,0.0521152,0.0333076,0.00710583,0.0100202,0.0140132,0.0160591,0.0171625,0.0100855,0.0125484,0.018744
1.300317460,0.0267932,0.0588578,0.0373707,0.0108169,0.00287217,0.0045522,0.00928568,0.0144409,0.0131578,0.00573209,0.0097516,0.0192594
1.346757370,0.0310093,0.0616851,0.0278326,0.00475352,0.00558998,0.00787801,0.00890762,0.0130118,0.0155993,0.0105859,0.0108413,0.0152531
1.393197279,0.0330094,0.0725199,0.0378834,0.010318,0.0119444,0.0134971,0.009821,0.0116034,0.0129572,0.00983279,0.0136898,0.0141851
1.439637188,0.0322191,0.0565686,0.0590458,0.0268144,0.0328207,0.0363003,0.0608835,0.0865487,0.0603178,0.0515309,0.0542383,0.0256572
1.486077098,0.0176578,0.0262201,0.0321326,0.0383494,0.0608146,0.0595035,0.0375552,0.0138885,0.0459051,0.0828414,0.0959485,0.0515838
1.532517007,0.0133131,0.024942,0.0298432,0.0226975,0.0680896,0.0834344,0.0327422,0.0188976,0.0301891,0.0963789,0.118316,0.0504872
1.578956916,0.0117279,0.0114132,0.0201524,0.0221836,0.0665547,0.0753802,0.0344317,0.0159522,0.0348367,0.0927935,0.108607,0.0429778
1.625396825,0.00836546,0.0168826,0.0225193,0.0330508,0.0648658,0.0697132,0.0355733,0.0110051,0.0347273,0.0671994,0.0730008,0.0396046
1.671836735,0.0212832,0.0415724,0.0278454,0.016466,0.0288458,0.0746892,0.0745273,0.0458386,0.0248583,0.0405538,0.0805981,0.0420281
1.718276644,0.0168608,0.0333427,0.0306945,0.0150091,0.0306009,0.0505215,0.0358822,0.00904083,0.0109099,0.0334544,0.075236,0.038735
1.764716553,0.0107243,0.0122757,0.0147597,0.00778705,0.0301197,0.0557868,0.0307944,0.014211,0.0153521,0.0396762,0.0757935,0.0343888
1.811156463,0.0203805,0.0256947,0.0305912,0.0209961,0.0393796,0.0581056,0.0349693,0.0210468,0.0263492,0.0385767,0.0808448,0.0340801
1.857596372,0.10973,0.115059,0.102336,0.103067,0.113331,0.142603,0.124427,0.100929,0.101461,0.130077,0.140239,0.0921462
1.904036281,0.0874882,0.133372,0.127999,0.0861598,0.103834,0.0986146,0.0851767,0.0929612,0.091116,0.0675709,0.0742047,0.0804985
1.950476190,0.066094,0.0650203,0.0676003,0.0505493,0.0416788,0.0807483,0.102028,0.0851615,0.0489662,0.0327515,0.0414178,0.0368397
